證券名稱,簡稱,年月,市場風險溢酬,規模溢酬 (3因子),規模溢酬 (5因子),淨值市價比溢酬,益本比溢酬,動能因子,短期反轉因子,長期反轉因子,盈利能力因子,投資因子,無風險利率,市場投組,Date
Y8888,上市(不含金融),200001,0.137751,0.054921,0.118964,0.189967,0.05985,-0.29248,0.14621800000000001,0.080347,-0.028831000000000002,-0.010816,0.05,0.14191800000000002,2000-01-31
Y8888L,上市(不含金融),200001,0.122364,0.036962,0.090046,0.15099500000000002,0.04523,-0.219268,0.115535,0.075683,-0.018718,-0.009632,0.05,0.126531,2000-01-31
Y8888,上市(不含金融),200002,-0.025337000000000002,0.013574999999999999,0.02818,0.016309,0.017394,0.053308999999999995,0.013075000000000002,0.03,-0.022173,-0.028952,0.05,-0.02117,2000-02-29
Y8888L,上市(不含金融),200002,-0.029451,0.009078000000000001,0.023743,0.018305000000000002,0.016935,0.050427,0.015178,0.027913999999999998,-0.020015,-0.026787000000000002,0.05,-0.025284,2000-02-29
Y8888,上市(不含金融),200003,0.054476000000000004,-0.024281999999999998,-0.042579000000000006,-0.074297,-0.014129000000000001,0.060818000000000004,-0.010653999999999999,-0.091875,0.045063000000000006,-0.10154,0.05,0.058643,2000-03-31
Y8888L,上市(不含金融),200003,0.044958,-0.026685,-0.042853,-0.069648,-0.015774999999999997,0.056921,0.00015,-0.090089,0.045557999999999994,-0.093488,0.05,0.049124999999999995,2000-03-31
Y8888,上市(不含金融),200004,-0.106874,0.052874,0.035379,-0.08492699999999999,0.038415,0.07039100000000001,-0.062249,-0.043883,0.026188,-0.006753,0.05,-0.10270699999999999,2000-04-30
Y8888L,上市(不含金融),200004,-0.11850300000000001,0.057768,0.036587999999999996,-0.098797,0.040846,0.077347,-0.071325,-0.05037,0.033281,-0.008017,0.05,-0.11433600000000001,2000-04-30
Y8888,上市(不含金融),200005,-0.001498,-0.04293,-0.041268,0.003386,-0.019563999999999998,0.001421,-0.004878,0.003407,-0.017065999999999998,0.062538,0.05,0.0026690000000000004,2000-05-31
Y8888L,上市(不含金融),200005,-0.00538,-0.047958999999999995,-0.046614,0.0009760000000000001,-0.018393,0.004718,-0.006797999999999999,0.001183,-0.017554,0.0687,0.05,-0.001213,2000-05-31
Y8888,上市(不含金融),200006,-0.070598,0.005342,-0.002555,-0.032319,-0.0050929999999999994,0.026524000000000002,0.030115,-0.031389,0.034645,-0.03595,0.05,-0.06643099999999999,2000-06-30
Y8888L,上市(不含金融),200006,-0.076127,0.004789,-0.004236,-0.035468,-0.0050929999999999994,0.029852,0.027651,-0.033672,0.038811,-0.039471,0.05,-0.07196,2000-06-30
Y8888,上市(不含金融),200007,-0.046557,-0.041634000000000004,-0.0049819999999999994,0.050834000000000004,0.11432600000000001,-0.041097999999999996,0.030382,0.049461000000000005,0.063738,0.014523999999999999,0.05,-0.04239,2000-07-31
Y8888L,上市(不含金融),200007,-0.055163000000000004,-0.043112000000000004,-0.0049380000000000005,0.055233,0.113961,-0.047464000000000006,0.02939,0.04944899999999999,0.066743,0.010799000000000001,0.05,-0.050996,2000-07-31
Y8888,上市(不含金融),200008,-0.054794999999999996,0.0011790000000000001,-0.084556,-0.20860199999999998,-0.112568,0.14438700000000002,0.07135,-0.151395,0.067544,-0.023748000000000002,0.05,-0.050628,2000-08-31
Y8888L,上市(不含金融),200008,-0.06692000000000001,0.0040550000000000004,-0.09626099999999999,-0.247012,-0.118108,0.164101,0.07234499999999999,-0.181369,0.083217,-0.027164999999999998,0.05,-0.062753,2000-08-31
Y8888,上市(不含金融),200009,-0.208514,0.008718,0.046001,0.020015,0.087827,-0.045625,0.048407,0.062542,0.057481,0.006175000000000001,0.049,-0.204431,2000-09-30
Y8888L,上市(不含金融),200009,-0.243185,0.011566,0.056781,0.023826,0.102164,-0.048150000000000005,0.054523999999999996,0.07618,0.084909,0.003834,0.049,-0.239102,2000-09-30
Y8888,上市(不含金融),200010,-0.114238,-0.022677999999999997,0.0041789999999999996,0.053068,0.054963,-0.066276,-0.035477,0.0208,0.044199,0.025718,0.049,-0.11015499999999999,2000-10-31
Y8888L,上市(不含金融),200010,-0.13293,-0.023656999999999997,0.007411,0.058193,0.062803,-0.07388,-0.041191000000000005,0.023405,0.056232,0.032719,0.049,-0.12884700000000002,2000-10-31
Y8888,上市(不含金融),200011,-0.052262,-0.004531,-0.044649,-0.091867,-0.0018709999999999998,0.130974,-0.028949,-0.025212,0.011477999999999999,-0.009089,0.05,-0.048095,2000-11-30
Y8888L,上市(不含金融),200011,-0.060048000000000004,-0.007128,-0.053682,-0.114642,-0.002309,0.156507,-0.03505,-0.030671,0.0246,-0.013709,0.05,-0.055881,2000-11-30
Y8888,上市(不含金融),200012,-0.112312,0.009535,0.072223,0.127151,0.12828,-0.010657000000000002,0.010468,0.059732,0.014767999999999998,-0.021501000000000003,0.05,-0.108145,2000-12-31
Y8888L,上市(不含金融),200012,-0.12867800000000001,0.005104,0.07470399999999999,0.143947,0.133688,0.004214,-0.0007480000000000001,0.070432,0.014598999999999999,-0.022141,0.05,-0.124511,2000-12-31
Y8888,上市(不含金融),200101,0.264203,-0.044839000000000004,-0.064059,0.005991,-0.160056,-0.247445,0.24469000000000002,0.000957,-0.027239,0.0067079999999999996,0.05,0.26837,2001-01-31
Y8888L,上市(不含金融),200101,0.22232500000000002,-0.037629,-0.054263000000000006,0.003859,-0.1317,-0.187349,0.196285,-0.001802,-0.018346,0.007239,0.05,0.226492,2001-01-31
Y8888,上市(不含金融),200102,-0.040454,0.089688,0.12717599999999998,0.09531200000000001,0.061538,-0.056860999999999995,-0.045889,0.096461,-0.035491999999999996,0.081461,0.048,-0.036454,2001-02-28
Y8888L,上市(不含金融),200102,-0.047708,0.084082,0.119106,0.086459,0.065039,-0.040104,-0.035144,0.087468,-0.026782,0.07653,0.048,-0.043708,2001-02-28
Y8888,上市(不含金融),200103,0.031147,0.10393599999999999,0.043306,-0.156723,-0.025563,-0.011234,-0.068939,-0.090394,0.029127,0.01719,0.04650000000000001,0.035022000000000005,2001-03-31
Y8888L,上市(不含金融),200103,0.024147,0.09185600000000001,0.0325,-0.153179,-0.025616,0.003154,-0.04966,-0.09692600000000001,0.037308,0.01002,0.04650000000000001,0.028022000000000002,2001-03-31
Y8888,上市(不含金融),200104,-0.07329100000000001,0.003,-0.019836,-0.067857,-0.025148,0.07600699999999999,-0.021164000000000002,-0.038115,0.044638,-0.026606,0.043,-0.06970799999999999,2001-04-30
Y8888L,上市(不含金融),200104,-0.079161,-0.00373,-0.028508,-0.074741,-0.024641000000000003,0.088109,-0.025419,-0.044474,0.052263000000000004,-0.031521,0.043,-0.075578,2001-04-30
Y8888,上市(不含金融),200105,-0.062259,-0.021461,-0.036299,-0.064032,0.003649,0.058223000000000004,-0.063579,-0.084246,0.068206,-0.049486,0.0405,-0.058884,2001-05-31
Y8888L,上市(不含金融),200105,-0.068693,-0.020558,-0.040519999999999994,-0.081538,0.00486,0.072009,-0.07355400000000001,-0.10471399999999999,0.079436,-0.054737,0.0405,-0.065318,2001-05-31
Y8888,上市(不含金融),200106,-0.040072,-0.001227,-0.012132,-0.020286,0.008242000000000001,0.0015249999999999999,0.022301,-0.018009999999999998,0.045365,-0.014969,0.0405,-0.036697,2001-06-30
Y8888L,上市(不含金融),200106,-0.044774,-0.005575,-0.016481,-0.019797,0.009365,0.0031130000000000003,0.021273,-0.018688,0.049991,-0.017782,0.0405,-0.041399,2001-06-30
Y8888,上市(不含金融),200107,-0.086013,-0.021278000000000002,-0.01474,-0.02629,-0.083404,0.098299,-0.023347000000000003,-0.036361,0.095037,-0.021093999999999998,0.0385,-0.082805,2001-07-31
Y8888L,上市(不含金融),200107,-0.099038,-0.024674,-0.016164,-0.027507,-0.097008,0.115959,-0.028077,-0.041481000000000004,0.109706,-0.021745,0.0385,-0.09583,2001-07-31
Y8888,上市(不含金融),200108,-0.007604,0.014803,0.044573,0.237809,0.061418999999999994,-0.12690099999999999,0.075328,0.181341,-0.17354299999999998,0.181635,0.036000000000000004,-0.004604,2001-08-31
Y8888L,上市(不含金融),200108,-0.018428,0.009051,0.037501,0.211158,0.066786,-0.10637600000000001,0.062036,0.149543,-0.148418,0.158079,0.036000000000000004,-0.015427999999999999,2001-08-31
Y8888,上市(不含金融),200109,-0.208458,0.025274,0.03893,0.013288,-0.017616,0.098491,-0.001118,-0.017087,0.04878999999999999,0.035339999999999996,0.031,-0.20587499999999997,2001-09-30
Y8888L,上市(不含金融),200109,-0.24166,0.02955,0.046501,0.016538,-0.023605,0.126714,0.0021,-0.019729,0.063253,0.041282,0.031,-0.23907699999999998,2001-09-30
Y8888,上市(不含金融),200110,0.075903,-0.051712,-0.075228,-0.130342,-0.013861000000000002,0.03535,0.04391200000000001,-0.105336,0.100533,-0.10169600000000001,0.027999999999999997,0.078236,2001-10-31
Y8888L,上市(不含金融),200110,0.065856,-0.052237,-0.075539,-0.130523,-0.012867,0.043407999999999995,0.033813,-0.105989,0.10167999999999999,-0.095671,0.027999999999999997,0.068189,2001-10-31
Y8888,上市(不含金融),200111,0.15126799999999999,-0.023867,-0.058655,-0.176261,-0.035264000000000004,-0.060297,-0.01921,-0.079297,0.121679,-0.164361,0.0245,0.15331,2001-11-30
Y8888L,上市(不含金融),200111,0.13172499999999998,-0.030476,-0.06390900000000001,-0.16653099999999998,-0.040704000000000004,-0.02625,-0.027805,-0.08522,0.110468,-0.148491,0.0245,0.133767,2001-11-30
Y8888,上市(不含金融),200112,0.244252,0.030562999999999996,0.025196999999999997,0.008359,0.092343,-0.19945900000000003,-0.155971,0.103804,-0.03025,-0.033719,0.0245,0.246294,2001-12-31
Y8888L,上市(不含金融),200112,0.209493,0.016311,0.010373,0.00468,0.056011,-0.134409,-0.10736000000000001,0.07734200000000001,-0.023926,-0.025581999999999997,0.0245,0.211535,2001-12-31
Y8888,上市(不含金融),200201,0.061379,0.060759,0.0731,0.106142,0.039257,-0.05683,-0.08230499999999999,0.132467,-0.076462,0.067257,0.023,0.063296,2002-01-31
Y8888L,上市(不含金融),200201,0.052003,0.041391,0.052022000000000006,0.07964299999999999,0.03459,-0.033367,-0.061598,0.09696500000000001,-0.047933,0.048526999999999994,0.023,0.05392,2002-01-31
Y8888,上市(不含金融),200202,-0.031301,0.013956999999999999,0.009427,-0.020659,0.0020239999999999998,-0.009862,-0.005173,-0.042042,-0.009438,0.006807,0.023,-0.029384,2002-02-28
Y8888L,上市(不含金融),200202,-0.034609,0.0077610000000000005,0.002624,-0.026230000000000003,0.002973,-0.002562,0.002497,-0.051044,-0.001091,0.002883,0.023,-0.032692,2002-02-28
Y8888,上市(不含金融),200203,0.089401,0.0719,0.137268,0.324226,0.077538,-0.157358,0.094501,0.288395,-0.190936,0.145727,0.023,0.091318,2002-03-31
Y8888L,上市(不含金融),200203,0.076546,0.053419999999999995,0.10006,0.240836,0.053605,-0.10878299999999999,0.08240399999999999,0.203673,-0.13764300000000002,0.100697,0.023,0.078463,2002-03-31
Y8888,上市(不含金融),200204,-0.034458,0.057969999999999994,0.086646,0.152723,0.04506,-0.172744,-0.036877,0.13600099999999998,-0.096835,0.115511,0.0235,-0.0325,2002-04-30
Y8888L,上市(不含金融),200204,-0.039837,0.044839000000000004,0.06932100000000001,0.130099,0.037416,-0.148836,-0.02619,0.116343,-0.08569399999999999,0.105884,0.0235,-0.037879,2002-04-30
Y8888,上市(不含金融),200205,-0.066897,-0.033500999999999996,-0.023064,-0.029705,0.0005639999999999999,0.065387,0.013286,-0.10659700000000001,0.106796,-0.048492,0.0235,-0.064939,2002-05-31
Y8888L,上市(不含金融),200205,-0.07574399999999999,-0.044043,-0.037311000000000004,-0.050396,-0.011112,0.09330999999999999,0.036457,-0.136332,0.13278399999999999,-0.062432999999999995,0.0235,-0.07378599999999999,2002-05-31
Y8888,上市(不含金融),200206,-0.107069,0.017662999999999998,0.039684,0.08346500000000001,0.026174,-0.012301,-0.072107,0.046632,-0.017394,0.042691999999999994,0.023,-0.105152,2002-06-30
