id,date,sd,quantile,sign,trade,perd,chg,name,closing_price
388,2007/9/28,0.0103653,-0.0158228,0,0,0,0,marketing_bear_lin1,0
389,2007/10/31,0.00843424,-0.0110686,0,0,0,0,marketing_bear_lin1,0
390,2007/11/30,0.00984878,-0.00742763,0,0,0,0,marketing_bear_lin1,0
391,2007/12/31,0.00430132,-0.00614751,0,0,0,0,marketing_bear_lin1,0
392,2008/1/31,-0.00224456,-0.00642461,0,0,0,0,marketing_bear_lin1,0
393,2008/2/29,0.00422478,-0.00664097,0,0,0,0,marketing_bear_lin1,0
394,2008/3/31,0.0221745,-0.00656073,0,0,0,0,marketing_bear_lin1,0
395,2008/4/30,0.0295568,-0.00669033,0,0,0,0,marketing_bear_lin1,0
396,2008/5/30,0.0237518,-0.00672636,0,0,0,0,marketing_bear_lin1,0
397,2008/6/30,0.00182026,-0.00697413,0,0,0,0,marketing_bear_lin1,0
398,2008/7/31,-0.0106639,-0.00749239,1,0,0,0,marketing_bear_lin1,0
399,2008/8/29,-0.0236593,-0.00903378,1,1,0,0,marketing_bear_lin1,0
400,2008/9/30,-0.0437699,-0.0129315,1,1,1,1,marketing_bear_lin1,0
401,2008/10/31,-0.0610236,-0.0184275,1,1,1,0,marketing_bear_lin1,0
402,2008/11/28,-0.0788995,-0.0253257,1,1,1,0,marketing_bear_lin1,0
403,2008/12/31,-0.0673418,-0.0298834,1,1,1,0,marketing_bear_lin1,0
404,2009/1/30,-0.0558423,-0.0328299,1,1,1,0,marketing_bear_lin1,0
405,2009/2/27,-0.0388381,-0.0342137,1,1,1,0,marketing_bear_lin1,0
406,2009/3/31,-0.0268609,-0.0348276,0,0,1,0,marketing_bear_lin1,0
407,2009/4/30,-0.00178149,-0.0347045,0,0,1,0,marketing_bear_lin1,0
408,2009/5/29,0.0286495,-0.0345783,0,0,1,0,marketing_bear_lin1,0
409,2009/6/30,0.0476365,-0.0348088,0,0,0,-1,marketing_bear_lin1,0
410,2009/7/31,0.057059,-0.0352583,0,0,0,0,marketing_bear_lin1,0
411,2009/8/31,0.0481243,-0.0354204,0,0,0,0,marketing_bear_lin1,0
412,2009/9/30,0.0474615,-0.0355824,0,0,0,0,marketing_bear_lin1,0
413,2009/10/30,0.039608,-0.0355544,0,0,0,0,marketing_bear_lin1,0
414,2009/11/30,0.0370268,-0.0353076,0,0,0,0,marketing_bear_lin1,0
415,2009/12/31,0.0322581,-0.0348278,0,0,0,0,marketing_bear_lin1,0
416,2010/1/29,0.0232817,-0.0342917,0,0,0,0,marketing_bear_lin1,0
417,2010/2/26,0.0158374,-0.0337855,0,0,0,0,marketing_bear_lin1,0
418,2010/3/31,0.0104945,-0.033159,0,0,0,0,marketing_bear_lin1,0
419,2010/4/30,0.0125467,-0.0323565,0,0,0,0,marketing_bear_lin1,0
420,2010/5/31,0.00584826,-0.0318442,0,0,0,0,marketing_bear_lin1,0
421,2010/6/30,-0.0137249,-0.0322709,0,0,0,0,marketing_bear_lin1,0
